Tree order	OS_name	Isolate name	Standardized name	Isolation	Ecological origins	Geographical origins	HO deletion	Plasmid class	Plasmid CN	Ploidy	Aneuploidies	Zygosity	Total number of SNPs	Proportion of clean heterozygous SNPs (whole dataset)	Number of singletons	Mean coverage	Clade	MTA (no distribution)	Collection / Provider	Reference
1	OS_1447	EXF-5295	BFC	Kefyr	Fermentation	Slovenia	no	A	75	2	euploid	homozygous	42,404	0.0	305	231	1. Wine/European 		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
2	OS_827	CBS4458	AGL	Red wine	Wine	France	yes	A	10	1	euploid	homozygous	43,585	0.0	565	921	1. Wine/European 		CBS collection (Nguyen H.V.)	
3	OS_770	YJM434_1b	ABE	Human, clinical 	Human, clinical	NA	yes	A	30	1	euploid	homozygous	42,562	0.0	117	197	1. Wine/European 		Kruglyak Laboratory	1
4	OS_1683	YJM453	SACE_YAM	Unknown	Human, clinical	NA	no	A	70	2	euploid	homozygous	41,676	0.0	139	82	1. Wine/European 		Phaff collection	2
5	OS_1194	DBVPG1554	BKI	Wine	Wine	Dalmatia 	no	A	12	2	euploid	homozygous	42,541	0.0	248	242	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
6	OS_677	DBVPG1794_1b	ABR	Soil	Soil	Finland	yes	A	34	1	euploid	homozygous	42,682	0.0	3	189	1. Wine/European 		Kruglyak Laboratory	1
7	OS_676	DBVPG1788_1b	ABQ	Soil	Soil	Finland	yes	A	29	1	euploid	homozygous	42,848	0.0	12	202	1. Wine/European 		Kruglyak Laboratory	1
8	OS_1235	DBVPG1790	BNV	Soil	Soil	Turku, Finland	no	A	8	2	euploid	homozygous	43,052	0.0	1	257	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
9	OS_1237	DBVPG1795	BPB	Grape must	Wine	Illasi, Verona, Italy	no	A	11	2	euploid	homozygous	43,363	0.0	393	368	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
10	OS_1253	DBVPG1960	BPT	Grape must	Wine	Recioto, Verona, Italy	no	A	9	2	euploid	heterozygous	45,188	9.9	337	255	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
11	OS_1270	DBVPG4162	BQM	Grape must	Wine	Reggio Emilia, Italy	no	A	8	2	euploid	heterozygous	45,851	13.3	385	199	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
12	OS_1454	EXF-6761	BFK	Quercus cerris	Tree	Slovenia	no	A	54	2	euploid	homozygous	42,620	0.0	310	296	1. Wine/European 		University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
13	OS_1275	DBVPG4410	BQS	Wine	Wine	Italy 	no	none	0	2	euploid	heterozygous	43,600	5.2	511	239	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
14	OS_1262	DBVPG2166	BQE	Sagrantino wine	Wine	production zone of Sagrantino wine, Montefalco, Foligno, Italy	no	A	10	2	euploid	heterozygous	46,097	15.3	490	186	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
15	OS_477	MC5	AIN	Cooked wine (vino cotto)	Wine	Ascoli Piceno, Italy	no	none	0	2	euploid	heterozygous	44,430	6.6	677	218	1. Wine/European 		Universita politecnica delle Marche (Maurizio Ciani)	
16	OS_1274	DBVPG4381	BQR	Seawater	Water	Italy 	no	A	13	2	euploid	heterozygous	43,741	4.8	528	209	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
17	OS_1257	DBVPG1984	BLT	Grape must	Wine	Slovenia	no	A	8	2	euploid	heterozygous	45,306	8.9	596	346	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
18	OS_855	CBS457	AIF	Grape must	Wine	Italy	no	A	26	2	euploid	heterozygous	44,600	10.1	10	224	1. Wine/European 		CBS collection (Nguyen H.V.)	
19	OS_1372	CBS1190	AQR	Wine	Wine	Germany	no	A	68	2	aneu;+1*11;+1*14;	heterozygous	44,653	9.9	4	216	1. Wine/European 		CBS collection (Nguyen H.V.)	
20	OS_1241	DBVPG1832	BPF	Fruit juice	Fruit	NA	no	none	0	2	euploid	heterozygous	44,882	10.0	401	258	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
21	OS_1254	DBVPG1973	BLR	Grape must	Wine	Greece	no	none	0	2	euploid	heterozygous	45,338	10.3	34	249	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
22	OS_1227	DBVPG1708	BNL	Soil	Soil	Ultura, Sweden	no	none	0	2	euploid	heterozygous	44,885	8.7	14	245	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
23	OS_1245	DBVPG1861	BPK	River water	Water	Rajamaki River, Finland	no	none	0	2	euploid	heterozygous	44,940	9.5	188	241	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
24	OS_1203	DBVPG1584	BKQ	Unknown	Unknown	Porec, Istria	no	A	41	2	euploid	heterozygous	44,193	5.4	754	237	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
25	OS_1242	DBVPG1841	BPG	Red Tecc	Unknown	Ethiopia	no	A	36	2	aneu;+1*1;	homozygous	41,579	0.0	21	132	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
26	OS_1243	DBVPG1843	BPH	White Tecc	Unknown	Ethiopia	no	A	35	2	aneu;+1*1;	homozygous	42,333	0.0	11	244	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
27	OS_1276	DBVPG4460	BQT	Wine	Wine	Jesi, Italy 	no	A	6	2	euploid	homozygous	42,858	0.0	410	251	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
28	OS_1355	CBS459	APT	Grape must	Wine	Italy	no	A	102	2	aneu;+1*14;	homozygous	42,776	0.0	239	295	1. Wine/European 		CBS collection (Nguyen H.V.)	
29	OS_1168	DBVPG1058	BID	Baker's yeast	Bakery	Pazzaglia, Italy	no	none	0	2	euploid	homozygous	42,560	0.0	363	256	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
30	OS_861	CBS1590	AGI	Grape must / juice	Wine	Italy	no	A	1	2	euploid	homozygous	42,994	0.0	339	328	1. Wine/European 		CBS collection (Nguyen H.V.)	
31	OS_1163	DBVPG1014	BHV	Grape must	Wine	Umbria, Italy	no	A	84	2	euploid	homozygous	42,750	0.0	373	221	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
32	OS_1167	DBVPG1057	BNE	Grape must	Wine	Colli Romani, Lazio, Italy	no	A	43	2	euploid	homozygous	42,723	0.0	24	224	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
33	OS_1209	DBVPG1599	BLA	Grape must	Wine	Cerro del Moro, La Mancha, Spain	no	A	21	2	euploid	homozygous	42,919	0.0	8	266	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
34	OS_1207	DBVPG1596	BKT	Grape must	Wine	Santa Cruz de los Canamos, La Mancha, Spain	no	A	15	2	euploid	homozygous	43,088	0.0	10	228	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
35	OS_1164	DBVPG1029	BIA	Fermenting Grape must	Wine	Colli di Roma, Lazio, Italy	no	A	33	2	euploid	homozygous	42,983	0.0	8	194	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
36	OS_1197	DBVPG1564	BKL	Grape must	Wine	Dolianova, Sardinia, Italy	no	A	21	2	euploid	homozygous	43,188	0.0	4	245	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
37	OS_1165	DBVPG1041	BIB	Grape must	Wine	Tuscany, Italy	no	A	44	2	euploid	homozygous	42,362	0.0	10	117	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
38	OS_1195	DBVPG1555	BKK	Unknown	Unknown	Radgona, Slovenia	no	A	25	2	euploid	homozygous	42,384	0.0	0	229	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
39	OS_1223	DBVPG1669	BLQ	Grape must	Wine	Cenicero, Rioja, Spain	no	A	42	2	aneu;+1*11;	homozygous	42,745	0.0	2	296	1. Wine/European 		DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
40	OS_1712	YJM1336	SACE_YBY	Unknown	Wine	Italy	no	A	114	2	euploid	homozygous	43,911	0.0	14	402	1. Wine/European 		Phaff collection	2
41	NA	YJM1526	SACE_YDF	Clinical (throat)	Human, clinical	NA	no	A	155	2	euploid	homozygous	43,687	0.0	148	251	1. Wine/European 			2
42	OS_1675	YJM1129	SACE_YDO	Non-Clinical, segregant of NRRL Y-53 (=NRRL Y-567)	Distillery	Ohio, USA	no	A	47	2	euploid	homozygous	42,848	0.0	109	138	1. Wine/European 		Phaff collection	2
43	OS_747	CBS1586	AHG	Pear must	Fruit	NA	yes	A	32	1	euploid	homozygous	42,683	0.0	381	228	1. Wine/European 		CBS collection (Nguyen H.V.)	
44	OS_473	C6.1	AII	Palm wine	Palm wine	Cameroon	no	A	25	2	aneu;+1*1;	heterozygous	44,147	4.6	446	326	1. Wine/European 			3
45	OS_744	CBS1192	AHD	Wine	Wine	NA	yes	A	26	1	aneu;+1*1;	homozygous	43,092	0.0	302	308	1. Wine/European 		CBS collection (Nguyen H.V.)	
46	OS_847	CBS1479	AGF	Wine	Wine	NA	yes	none	0	1	euploid	homozygous	42,942	0.0	82	475	1. Wine/European 		CBS collection (Nguyen H.V.)	
47	OS_829	CBS1194	AHE	Wine	Wine	NA	yes	none	0	1	aneu;+1*8;	homozygous	42,589	0.0	73	215	1. Wine/European 		CBS collection (Nguyen H.V.)	
48	OS_1371	CBS1175	AQQ	Wine	Wine	Switzerland	no	A	75	2	aneu;+1*9;+1*14;	heterozygous	43,685	5.4	143	175	1. Wine/European 		CBS collection (Nguyen H.V.)	
49	OS_1401	CBS1489	ASG	Tubercular lung	Human, clinical	Italy	no	A	46	2	aneu;+2*2;+1*3;+1*8;+1*10;	homozygous	42,666	0.0	357	275	1. Wine/European 		CBS collection (Nguyen H.V.)	
50	OS_1398	CBS4507	ASD	Brewer's yeast, English top yeast	Beer	NA	no	none	0	2	euploid	heterozygous	43,786	4.4	1	239	1. Wine/European 		CBS collection (Nguyen H.V.)	
